ID,RA,DEC,EIDOLON_SCORE,RA_Telescope,DEC_Telescope,Best_Site,Best_UTC_Start,Best_UTC_End,Best_Altitude,Moon_Separation_Deg
EID-0P-166522,69.98291015625,-2.201356002076764,2.443440383196984e+37,04:39:55.9,-02:12:04.9,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.06,155.31
EID-0P-166518,69.98291015625,-2.238685960842517,2.443440383196984e+37,04:39:55.9,-02:14:19.3,Chile_Two,2025-05-23T17:26:09.708809,2025-05-23T18:26:09.708809,63.1,155.27
EID-0P-154000,22.93269230769231,87.62419110516873,2.3869949144014697e+37,01:31:43.8,+87:37:27.1,New_Mexico,2025-05-25T16:26:09.708809,2025-05-25T17:26:09.708809,35.16,112.81
EID-0P-169584,60.90820312499999,-0.2051611072473349,2.32420414737646e+37,04:03:38.0,-00:12:18.6,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.13,159.17
EID-0P-169586,60.97412109374999,-0.149207927795814,2.32420414737646e+37,04:03:53.8,-00:08:57.1,Canary_Islands,2025-05-23T13:26:09.708809,2025-05-23T14:26:09.708809,61.19,159.23
EID-0P-154012,26.208791208791208,87.92120212722207,2.0926355785712169e+37,01:44:50.1,+87:55:16.3,,,,,
EID-0P-208101,188.876953125,1.1750934813636178,2.0686139041710312e+37,12:35:30.5,+01:10:30.3,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.73,56.92
EID-0P-208084,189.03076171875,1.1191293536348468,2.0686139041710312e+37,12:36:07.4,+01:07:08.9,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.67,56.76
EID-0P-208083,189.0087890625,1.1004748843267862,2.0686139041710312e+37,12:36:02.1,+01:06:01.7,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.65,56.77
EID-0P-208086,188.9208984375,1.1004748843267862,2.0686139041710312e+37,12:35:41.0,+01:06:01.7,Canary_Islands,2025-05-25T21:26:09.708809,2025-05-25T22:26:09.708809,62.65,56.85
